10, 7730.0793517985512
20, 7434.4059958983289
30, 7206.3033892261574
40, 6997.2119150219223
50, 6875.7826530492903
60, 6715.2752087386289
70, 6594.5276344640415
80, 6515.2304250719553
90, 6419.753254745011
100, 6352.4396362784692
110, 6284.8032553827315
120, 6219.9888401134085
130, 6161.0169754383151
140, 6128.7718742091583
150, 6071.7117961161575
160, 6022.7874990953524
170, 5989.8085214503708
180, 5961.8511429753698
190, 5929.635087999106
200, 5888.7586297796033
210, 5856.734531496073
220, 5832.1782680058313
230, 5801.7286790736089
240, 5776.292442478386
250, 5760.8055498630201
260, 5735.4318181471626
270, 5711.3685759547443
280, 5682.3405975520254
290, 5673.3964405027837
300, 5654.2454674660603
310, 5627.2898050083922
320, 5601.6661669233317
330, 5595.9125332635003
340, 5572.5405508373806
350, 5554.6151753359081
360, 5527.8206278098232
370, 5518.7990476620898
380, 5493.7495382147208
390, 5464.0214074849055
400, 5464.9359935770663
410, 5432.8217055273853
420, 5430.9025538019769
430, 5410.3694551786548
440, 5394.1618450453498
450, 5370.3690346212397
460, 5354.8398267606071
470, 5343.5991223522824
480, 5316.0437697542457
490, 5312.0788608375833
500, 5300.3630923955907
510, 5284.9186038406688
520, 5270.1793586961239
530, 5251.7193369915749
540, 5234.551447675799
550, 5215.8117141612092
560, 5202.1544377269902
570, 5175.558049405834
580, 5175.0338008772951
590, 5146.3385588703204
600, 5153.2453800761614
610, 5137.9884879352157
620, 5119.8211525510533
630, 5108.2713912717627
640, 5096.4433680837137
650, 5080.6450500275596
660, 5067.3395400069376
670, 5048.8918661882808
680, 5038.2865869767384
690, 5025.232551026611
700, 5010.2396915143681
710, 4994.5223816145926
720, 4979.1530562384451
730, 4966.7404090529453
740, 4954.3347717599954
750, 4940.6753475811283
760, 4926.9358401211193
770, 4915.6196034905188
780, 4904.4164950304721
790, 4891.092856139262
800, 4878.4573889715766
810, 4865.3775901474291
820, 4852.9137217678617
830, 4839.8789836214482
840, 4827.9479490483109
850, 4813.142749904302
860, 4802.0726054459665
870, 4790.1712204170253
880, 4776.5972614672964
890, 4766.1527299746185
900, 4754.2749553991735
910, 4743.6525197851279
920, 4731.9761419727147
930, 4717.6796693137276
940, 4707.1809440210218
950, 4690.3017557035619
960, 4681.0485918949635
970, 4670.6322896031534
980, 4658.3975039105244
990, 4640.8587723757537
1000, 4631.5042561118216
